shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
3584,5120,3.0,300,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,1000,-1026.9869181451124,0.1,SUCCESS,1
3584,29696,1.0,200,16,8,8,4,10,0.9,524288,10752,7680,100,500,85,6000,-1097.2304337151363,0.1,SUCCESS,1
2560,12288,0.1,400,32,8,8,4,10,0.9,2016383,3584,12800,1000,200,85,1000,-1090.133675525739,0.1,SUCCESS,1
5632,10240,1.0,400,64,4,8,4,10,0.9,2016383,1024,8192,50,200,125,6000,-1099.052234107491,0.1,SUCCESS,1
7680,11264,0.5,300,64,8,8,4,5,0.9,2016383,512,10752,2000,150,100,6000,-1070.9174602482403,0.1,SUCCESS,1
1792,9216,0.1,1,20,2,4,10,10,0.9,3145728,1024,14848,2000,200,125,3000,-1031.9058650902311,0.1,SUCCESS,1
3584,5120,1.5,1,20,4,4,4,10,0.9,2016383,5632,512,500,200,100,1000,-992.186942931152,0.1,SUCCESS,1
5632,12288,1.1,400,4,1,4,4,10,0.9,1048576,512,8704,100,200,125,1000,-997.3197692999908,0.1,SUCCESS,1
3584,27648,0.5,1,16,16,8,10,10,0.9,524288,7680,11776,50,150,95,500,-1081.761151172842,0.1,SUCCESS,1
4096,10240,0.5,400,24,2,8,4,10,0.9,2016383,1024,13824,2000,200,125,500,-1029.7252535781336,0.1,SUCCESS,1
1280,6990,7.0,400,8,16,4,10,10,0.9,2016383,15872,11776,100,300,125,3000,-1083.8481771779072,0.1,SUCCESS,1
7680,11264,7.5,400,8,2,4,10,5,0.9,4194304,7680,512,1000,200,115,1000,-998.2941655475366,0.1,SUCCESS,1
3584,35840,3.5,400,64,8,8,10,5,0.9,2016383,13824,11776,100,150,95,3000,-1109.635268134575,0.1,SUCCESS,1
1792,29696,3.5,400,24,4,8,10,5,0.9,1048576,15872,11776,2000,150,85,500,-1039.3403700350666,0.1,SUCCESS,1
4096,6990,0.5,1,8,2,4,4,10,0.9,2016383,512,8192,100,300,125,1000,-908.91600433705,0.1,SUCCESS,1
2048,46080,1.1,300,16,4,4,10,5,0.9,1572864,13824,11776,100,150,85,3000,-1080.211381889807,0.1,SUCCESS,1
3072,21504,1.1,400,24,4,4,10,5,0.9,6291456,6656,14848,500,300,75,3000,-1070.3743677939544,0.1,SUCCESS,1
4096,35840,5.0,1,32,4,4,4,10,0.9,4194304,10752,9728,100,150,115,8000,-1072.633040896024,0.1,SUCCESS,1
