compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,7,9,32,2048,1024,4096,heap_buffers,16,60,-735,361343975.0
64,7,9,19,1024,1024,4096,heap_buffers,16,60,-1022,362666494.0
16,7,9,22,2048,1024,4096,heap_buffers,16,60,-857,363993787.0
16,7,9,21,1024,1024,4096,heap_buffers,16,60,-767,365246309.0
16,7,9,21,2048,1024,4096,heap_buffers,16,50,-3409,366418162.0
32,7,9,21,2048,1024,4096,heap_buffers,16,60,-1835,367626348.0
16,7,9,21,2048,1024,4096,heap_buffers,16,40,-1486,368884712.0
64,7,9,21,2048,1024,4096,heap_buffers,16,60,-1994,370071782.0
16,7,8,22,2048,1024,3072,heap_buffers,16,40,-1644,371299841.0
16,7,9,21,2048,1024,4096,heap_buffers,16,70,-1481,372537380.0
16,7,10,21,2048,1024,4096,heap_buffers,16,60,-810,373881428.0
16,7,8,22,1024,1024,3072,heap_buffers,16,50,-1770,375131147.0
32,7,9,21,1024,1024,3413,heap_buffers,16,60,-868,376460087.0
32,7,9,22,2048,1024,3413,heap_buffers,16,60,-1390,377707069.0
16,7,8,22,512,1024,3072,heap_buffers,16,40,-1727,378913100.0
32,7,9,21,2048,1024,3754,heap_buffers,16,60,-1086,380220145.0
