compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,9,45,25,1024,4096,3413,offheap_buffers,4,10,-410,376128682.0
64,10,39,43,256,3754,2730,offheap_objects,13,60,-339,377341343.0
16,7,45,25,1024,4096,3413,offheap_buffers,4,30,-208,378590823.0
16,7,45,25,2048,3754,2730,offheap_buffers,5,10,-428,379865017.0
16,7,45,25,2048,3413,2389,offheap_buffers,5,10,-331,381051474.0
16,7,45,25,2048,3413,2730,offheap_buffers,5,0,-220,382293540.0
16,7,45,25,2048,3413,2730,offheap_buffers,5,40,-365,383535884.0
16,7,45,25,2048,3413,2730,offheap_objects,5,10,-476,384724712.0
16,7,45,25,2048,3413,3754,offheap_buffers,4,40,-161,386004504.0
32,7,45,25,1024,4096,3413,offheap_buffers,4,10,-344,387365585.0
16,2,30,25,2048,3754,3072,offheap_buffers,4,10,-1060,388497222.0
32,11,41,13,512,2389,2048,heap_buffers,4,0,-226,389718719.0
16,7,52,25,2048,3413,3413,offheap_buffers,7,10,-234,390979589.0
16,2,31,25,2048,3413,3413,offheap_buffers,4,40,-417,392216352.0
16,6,45,8,2048,3413,3413,offheap_buffers,4,40,-290,393451283.0
16,7,45,27,2048,4096,2730,offheap_buffers,4,10,-242,394687962.0
16,7,45,25,2048,3413,3413,heap_buffers,4,40,-627,395910476.0
16,7,45,25,2048,3413,2730,offheap_buffers,6,10,-408,397126891.0
16,9,45,25,2048,4096,2730,offheap_buffers,4,10,-255,398438031.0
16,8,45,25,2048,3413,2730,offheap_buffers,5,10,-20052,399114316.0
16,8,45,25,2048,3413,2730,heap_buffers,5,10,-346,400347645.0
64,5,55,17,256,2730,2048,heap_buffers,0,0,-526,401584848.0
64,5,38,53,1024,1365,3072,offheap_objects,11,10,-520,402785997.0
16,8,45,25,2048,3413,2048,offheap_buffers,5,10,-267,404016873.0
16,8,45,25,2048,3413,2730,offheap_buffers,6,10,-672,405208951.0
16,10,45,25,2048,3413,2730,offheap_buffers,5,10,-1456,406314629.0
16,9,45,25,2048,3413,2730,offheap_buffers,5,10,-297,407540250.0
